table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__ChannelPackage__c,LastModifiedDate,
dev_hotel_sales,nihrm__BookingTax__c,LastModifiedDate,
dev_hotel_sales,nihrm__PackageItem__c,LastModifiedDate,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,LastModifiedDate,
dev_hotel_sales,nihrm__BookingOtherIncome__c,LastModifiedDate,
dev_hotel_sales,nihrm__ChannelLocationItem__c,LastModifiedDate,
dev_hotel_sales,nihrm__RevenueClassification__c,LastModifiedDate,
dev_hotel_sales,nihrm__Package__c,LastModifiedDate,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,LastModifiedDate,
dev_hotel_sales,nihrm__GuestroomType__c,LastModifiedDate,
